#datetime;TLU#1:examples.TLU.S.state;TLU#1:examples.TLU.T.changeTime;TLU#2:examples.TLU.S.state;TLU#2:examples.TLU.T.changeTime;TLU#3:examples.TLU.S.state;TLU#3:examples.TLU.T.changeTime;TLU#4:examples.TLU.S.state;TLU#4:examples.TLU.T.changeTime;TLU#5:examples.TLU.S.state;TLU#5:examples.TLU.T.changeTime;TLU#6:examples.TLU.S.state;TLU#6:examples.TLU.T.changeTime
20130531T142800;true;19800;false;19800;false;19800;false;19800;true;19800;true;19800
20130531T142900;true;19800;false;19800;false;19800;false;19800;true;19800;true;19800
20130531T143000;false;20100;true;20100;true;20100;true;20100;false;20100;false;20100
20130531T143100;false;20100;true;20100;true;20100;true;20100;false;20100;false;20100
20130531T143200;false;20100;true;20100;true;20100;true;20100;false;20100;false;20100
20130531T143300;false;20100;true;20100;true;20100;true;20100;false;20100;false;20100
20130531T143400;false;20100;true;20100;true;20100;true;20100;false;20100;false;20100
20130531T143500;true;20400;false;20400;false;20400;false;20400;true;20400;true;20400
20130531T143600;true;20400;false;20400;false;20400;false;20400;true;20400;true;20400
20130531T143700;true;20400;false;20400;false;20400;false;20400;true;20400;true;20400
20130531T143800;true;20400;false;20400;false;20400;false;20400;true;20400;true;20400
20130531T143900;true;20400;false;20400;false;20400;false;20400;true;20400;true;20400
20130531T144000;false;20700;true;20700;true;20700;true;20700;false;20700;false;20700
20130531T144100;false;20700;true;20700;true;20700;true;20700;false;20700;false;20700
20130531T144200;false;20700;true;20700;true;20700;true;20700;false;20700;false;20700
20130531T144300;false;20700;true;20700;true;20700;true;20700;false;20700;false;20700
20130531T144400;false;20700;true;20700;true;20700;true;20700;false;20700;false;20700
20130531T144500;true;21000;false;21000;false;21000;false;21000;true;21000;true;21000
20130531T144600;true;21000;false;21000;false;21000;false;21000;true;21000;true;21000
20130531T144700;true;21000;false;21000;false;21000;false;21000;true;21000;true;21000
20130531T144800;true;21000;false;21000;false;21000;false;21000;true;21000;true;21000
20130531T144900;true;21000;false;21000;false;21000;false;21000;true;21000;true;21000
20130531T145000;false;21300;true;21300;true;21300;true;21300;false;21300;false;21300
20130531T145100;false;21300;true;21300;true;21300;true;21300;false;21300;false;21300
20130531T145200;false;21300;true;21300;true;21300;true;21300;false;21300;false;21300
20130531T145300;false;21300;true;21300;true;21300;true;21300;false;21300;false;21300
20130531T145400;false;21300;true;21300;true;21300;true;21300;false;21300;false;21300
20130531T145500;true;21600;false;21600;false;21600;false;21600;true;21600;true;21600
