#datetime	water.surf.Q.downstream-rs
1997-06-05T07:29:00	0.06511116
1997-06-05T07:30:00	0.068290368
1997-06-05T07:31:00	0.071491703
1997-06-05T07:32:00	0.074703813
1997-06-05T07:33:00	0.07791768
1997-06-05T07:34:00	0.081126824
1997-06-05T07:35:00	0.084327832
1997-06-05T07:36:00	0.08752048
1997-06-05T07:37:00	0.090708859
1997-06-05T07:38:00	0.093902551
1997-06-05T07:39:00	0.097119585
1997-06-05T07:40:00	0.10039042
1997-06-05T07:41:00	0.10375982
1997-06-05T07:42:00	0.10728064
1997-06-05T07:43:00	0.11100385
1997-06-05T07:44:00	0.11497231
1997-06-05T07:45:00	0.11922173
1997-06-05T07:46:00	0.12378471
1997-06-05T07:47:00	0.12869273
1997-06-05T07:48:00	0.13397676
1997-06-05T07:49:00	0.13966532
1997-06-05T07:50:00	0.14578238
1997-06-05T07:51:00	0.15234444
1997-06-05T07:52:00	0.15935935
1997-06-05T07:53:00	0.1668258
1997-06-05T07:54:00	0.17473282
1997-06-05T07:55:00	0.18306041
1997-06-05T07:56:00	0.19178112
1997-06-05T07:57:00	0.2008608
1997-06-05T07:58:00	0.21026006
1997-06-05T07:59:00	0.2199365
1997-06-05T08:00:00	0.22984578
1997-06-05T08:01:00	0.23994368
1997-06-05T08:02:00	0.25018743
1997-06-05T08:03:00	0.26053736
1997-06-05T08:04:00	0.27095708
1997-06-05T08:05:00	0.28141505
1997-06-05T08:06:00	0.29188374
1997-06-05T08:07:00	0.30234095
1997-06-05T08:08:00	0.3127676
1997-06-05T08:09:00	0.32314879
1997-06-05T08:10:00	0.3334724
1997-06-05T08:11:00	0.34372956
1997-06-05T08:12:00	0.35391229
1997-06-05T08:13:00	0.36401528
1997-06-05T08:14:00	0.37403268
1997-06-05T08:15:00	0.38395938
1997-06-05T08:16:00	0.39378867
1997-06-05T08:17:00	0.40351173
1997-06-05T08:18:00	0.41312
1997-06-05T08:19:00	0.42260218
1997-06-05T08:20:00	0.43194625
1997-06-05T08:21:00	0.44113967
1997-06-05T08:22:00	0.45016679
1997-06-05T08:23:00	0.45901248
1997-06-05T08:24:00	0.46766001
